,Dehui_Solar_Power__Vietnam__Co_Ltd_DH_M160W_440W,Dehui_Solar_Power__Vietnam__Co_Ltd_DH_M160W_445W,Dehui_Solar_Power__Vietnam__Co_Ltd_DH_M160W_450W,Dehui_Solar_Power__Vietnam__Co_Ltd_DH_M160W_455W,Dehui_Solar_Power__Vietnam__Co_Ltd_DH_M160W_460W,Sunflare_Co__FLEX60_160W,Sunflare_Co__FLEX60_160W_M20_A,Walters_&_Wolf_Glass_Co_VL_A200_1_0804_160W_M,Applied_Quantum_Technology_AQT125MA_160W,Jiangyin_Hareon_Power_HR_160W_24V,Jumao_Photonic__Xiamen__JMP_160W_S5_G,Ningbo_Maxsolar_MP_160WP,Ningbo_Solar_Electric_Power_TDB125x125_72_P_160W,Ningbo_Solar_Electric_Power_TPB125x125_72_P_160W,SET_Solar_SETA_125_160W_72M,Shanghai_Topsolar_Green_Energy_TSM72_125M_160W,Silray_SRMA_160WP,Sun_Earth_Solar_Power_TDB125x125_72_P_160W,Sun_Earth_Solar_Power_TPB125x125_72_P_160W,Zhejiang_Sunflower_Light_Energy_Science_&_Technology_SF125x125_72_M_160W
Length,,,,,,,,,1.58,1.58,1.577,1.58,1.58,1.58,1.58,1.574,1.58,1.58,1.58,1.58
Width,,,,,,,,,0.808,0.808,0.827,0.808,0.808,0.808,0.808,0.802,0.808,0.808,0.808,0.808
beta_oc,-0.10619,-0.106449,-0.106708,-0.106967,-0.107485,-0.109863,-0.109863,-0.058565,-0.155878,-0.14256,-0.184564,-0.171583,-0.147606,-0.13547,-0.195804,-0.167227,-0.171583,-0.147606,-0.13547,-0.195804
gamma_r,-0.343,-0.343,-0.343,-0.343,-0.343,-0.385,-0.385,-0.362,-0.4987,-0.463,-0.5729,-0.530804,-0.457,-0.43,-0.522,-0.4472,-0.530804,-0.457,-0.43,-0.522
Bifacial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpha_sc,0.00685,0.006885,0.006915,0.00695,0.006995,-0.0008628,-0.0008628,0.0029304,0.000189,0.00215,0.002999,0.003021,0.00273,0.002515,0.0036,0.00365,0.003021,0.00273,0.002515,0.0036
R_s,0.177713,0.175841,0.174199,0.170334,0.175808,0.567123,0.567123,0.0391178,0.608433,0.764839,0.312998,0.692986,0.57571,0.606154,0.697631,0.575307,0.692986,0.57571,0.606154,0.697631
a_ref,1.51881,1.52149,1.52306,1.53093,1.53603,1.36266,1.36266,0.845162,1.824195,1.802268,2.153711,1.969181,1.898504,1.829825,2.058334,1.899241,1.969181,1.898504,1.829825,2.058334
A_c,2.14,2.14,2.14,2.14,2.14,1.64,1.64,1.03,1.277,1.277,1.304,1.277,1.277,1.277,1.277,1.262,1.277,1.277,1.277,1.277
Date,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,1/3/2019,1/3/2019,1/3/2019,1/3/2019,1/3/2019,1/3/2019,1/3/2019,1/3/2019,1/3/2019,1/3/2019,1/3/2019,1/3/2019
PTC,408.5,413.3,418.1,422.8,427.6,138.5,138.5,148.6,138.3,143.5,134.8,140.7,142.3,144.3,141.0,142.6,140.7,142.3,144.3,141.0
Adjust,10.2321,10.0813,9.76305,10.3916,10.0365,0.543818,0.543818,15.4848,4.368288,10.279148,16.097322,7.745722,15.709377,17.892452,0.168465,3.131209,7.745722,15.709377,17.892452,0.168465
STC,440.64,445.005,449.73,455.161,459.928,160.08,160.08,158.721,160.89,159.96,159.12,159.96,160.2,160.105,159.705,159.95,159.96,160.2,160.105,159.705
V_mp_ref,34.0,34.1,34.2,34.3,34.4,27.6,27.6,19.1,34.6,34.4,36.0,34.4,35.6,35.5,35.1,35.0,34.4,35.6,35.5,35.1
Version,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2,SAM 2018.11.11 r2
V_oc_ref,41.0,41.1,41.2,41.3,41.5,35.1,35.1,22.1,42.8,43.2,43.56,43.2,43.8,43.7,44.1,43.2,43.2,43.8,43.7,44.1
I_o_ref,2.56148e-11,2.53374e-11,2.45957e-11,2.66882e-11,2.58309e-11,3.83306e-11,3.83306e-11,3.80653e-11,3.151489e-10,1.908343e-10,7.655944e-09,1.463243e-09,4.497868e-10,1.997761e-10,2.382049e-09,6.331101e-10,1.463243e-09,4.497868e-10,1.997761e-10,2.382049e-09
N_s,60,60,60,60,60,60,60,32,72,72,72,72,72,72,72,72,72,72,72,72
T_NOCT,46.9,46.9,46.9,46.9,46.9,55.9,55.9,43.8,49.9,45.4,50.1,45.8,47.2,45.8,45.8,47.3,45.8,47.2,45.8,45.8
I_mp_ref,12.96,13.05,13.15,13.27,13.37,5.8,5.8,8.31,4.65,4.65,4.42,4.65,4.5,4.51,4.55,4.57,4.65,4.5,4.51,4.55
I_sc_ref,13.7,13.77,13.83,13.9,13.99,7.19,7.19,8.88,5.1,5.0,4.86,5.0,5.0,5.03,5.0,5.07,5.0,5.0,5.03,5.0
I_L_ref,13.709,13.7771,13.8339,14.0489,14.1389,7.36063,7.36063,8.88373,5.117472,5.00926,4.867446,5.006061,5.020778,5.054511,5.016696,5.090611,5.006061,5.020778,5.054511,5.016696
R_sh_ref,271.848,339.041,622.09,241.89,274.777,23.8981,23.8981,93.0603,177.59787,412.96283,204.288925,571.672852,138.538864,124.393936,208.922684,141.513855,571.672852,138.538864,124.393936,208.922684
Technology,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Thin Film,Thin Film,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Multi-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Multi-c-Si,Mono-c-Si
Manufacturer,Dehui Solar Power (Vietnam) Co.Ltd,Dehui Solar Power (Vietnam) Co.Ltd,Dehui Solar Power (Vietnam) Co.Ltd,Dehui Solar Power (Vietnam) Co.Ltd,Dehui Solar Power (Vietnam) Co.Ltd,Sunflare Co.,Sunflare Co.,Walters & Wolf Glass Co,,,,,,,,,,,,
BIPV,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
