,Trina_Solar_TSM_390DE09,Trina_Solar_TSM_390DE09_05,Trina_Solar_TSM_390DE09_08,Trina_Solar_TSM_390DE09C_05,Trina_Solar_TSM_390DE09C_07,Trina_Solar_TSM_390DE15H_II_,Trina_Solar_TSM_390DE15H_T0_II_,Trina_Solar_TSM_390DE15M_II_,Trina_Solar_TSM_390DE15M_T0_II_,Trina_Solar_TSM_390DEG15H_II_,Trina_Solar_TSM_390DEG15H_20_II_,Trina_Solar_TSM_390DEG15HC_II_,Trina_Solar_TSM_390DEG15HC_20_II_,Trina_Solar_TSM_390DEG15M_II_,Trina_Solar_TSM_390DEG15M_20_II_,Trina_Solar_TSM_390DEG15MC_II_,Trina_Solar_TSM_390DEG15MC_20_II_,Trina_Solar_TSM_390NE09RC_05
Manufacturer,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar,Trina Solar
Technology,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si,Mono-c-Si
Bifacial,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
STC,390.052,390.052,390.052,390.052,390.052,390.42,390.42,390.0,390.0,390.42,390.42,390.015,390.015,390.0,390.0,390.342,390.342,389.76
PTC,363.6,367.1,363.6,363.7,363.7,365.4,365.4,365.7,365.7,365.7,365.7,364.6,364.6,367.8,367.8,364.9,364.9,366.5
A_c,1.91,1.91,1.91,1.91,1.91,1.99,1.99,1.99,1.99,2.01,2.01,2.01,2.01,2.01,2.01,2.01,2.01,1.98
Length,,,,,,,,,,,,,,,,,,
Width,,,,,,,,,,,,,,,,,,
N_s,60,60,60,60,60,48,48,48,48,48,48,48,48,48,48,48,48,72
I_sc_ref,12.14,12.14,12.14,12.14,12.14,10.08,10.08,10.3,10.3,10.08,10.08,10.19,10.19,10.3,10.3,10.25,10.25,10.22
V_oc_ref,40.8,40.8,40.8,40.8,40.8,49.7,49.7,48.5,48.5,49.7,49.7,49.6,49.6,48.5,48.5,48.5,48.5,48.4
I_mp_ref,11.54,11.54,11.54,11.54,11.54,9.64,9.64,9.75,9.75,9.64,9.64,9.63,9.63,9.75,9.75,9.71,9.71,9.6
V_mp_ref,33.8,33.8,33.8,33.8,33.8,40.5,40.5,40.0,40.0,40.5,40.5,40.5,40.5,40.0,40.0,40.2,40.2,40.6
alpha_sc,0.0040062,0.0044918,0.0040062,0.0038848,0.0038848,0.004032,0.004032,0.004326,0.004326,0.004536,0.004536,0.0041779,0.0041779,0.004017,0.004017,0.0041,0.0041,0.0047012
beta_oc,-0.108528,-0.096696,-0.108528,-0.104448,-0.104448,-0.13419,-0.13419,-0.125615,-0.125615,-0.131208,-0.131208,-0.13392,-0.13392,-0.1261,-0.1261,-0.12998,-0.12998,-0.121968
T_NOCT,44.8,44.3,44.8,45.6,45.6,43.8,43.8,44.1,44.1,43.6,43.6,43.8,43.8,42.3,42.3,44.0,44.0,44.7
a_ref,1.50568,1.43593,1.50568,1.47569,1.47569,1.81201,1.81201,1.76819,1.76819,1.82391,1.82391,1.84385,1.84385,1.76676,1.76676,1.79573,1.79573,1.74295
I_L_ref,12.1437,12.1458,12.1437,12.1445,12.1445,10.1875,10.1875,10.4188,10.4188,10.2992,10.2992,10.3094,10.3094,10.4188,10.4188,10.366,10.366,10.2316
I_o_ref,2.06024e-11,5.5124e-12,2.06024e-11,1.1868e-11,1.1868e-11,1.23738e-11,1.23738e-11,1.24574e-11,1.24574e-11,1.47736e-11,1.47736e-11,2.09209e-11,2.09209e-11,1.21831e-11,1.21831e-11,1.88987e-11,1.88987e-11,8.71403e-12
R_s,0.203518,0.21694,0.203518,0.209259,0.209259,0.378054,0.378054,0.309129,0.309129,0.373712,0.373712,0.358321,0.358321,0.309454,0.309454,0.281576,0.281576,0.24064
R_sh_ref,676.68,457.04,676.68,560.924,560.924,575.692,575.692,203.498,203.498,231.424,231.424,210.354,210.354,203.137,203.137,215.826,215.826,211.509
Adjust,6.67506,7.56676,6.67506,6.03246,6.03246,2.20643,2.20643,6.46923,6.46923,5.95297,5.95297,6.59292,6.59292,5.90657,5.90657,6.47431,6.47431,6.40239
gamma_r,-0.357,-0.317,-0.357,-0.342,-0.342,-0.345,-0.345,-0.335,-0.335,-0.343,-0.343,-0.355,-0.355,-0.337,-0.337,-0.347,-0.347,-0.315
BIPV,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Version,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31,2023.10.31
Date,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022,11/16/2022
